Setup,Activation,LearningRate,Epochs,SNR(dB),SpectralEfficiency
0db,sigmoid,0.0001,100,-5,2.3464245796203613
0db,sigmoid,0.0001,100,0,3.552042245864868
0db,sigmoid,0.0001,100,5,4.951127052307129
0db,sigmoid,0.0001,100,10,6.476039886474609
0db,sigmoid,0.0001,100,15,8.073202133178711
0db,sigmoid,0.0001,100,20,9.70761775970459
0db,sigmoid,0.0001,500,-20,0.32307183742523193
0db,sigmoid,0.0001,500,-15,0.7546346187591553
0db,sigmoid,0.0001,500,-10,1.4627376794815063
0db,sigmoid,0.0001,500,-5,2.440155267715454
0db,sigmoid,0.0001,500,0,3.6618826389312744
0db,sigmoid,0.0001,500,5,5.076675891876221
0db,sigmoid,0.0001,500,10,6.616641521453857
0db,sigmoid,0.0001,500,15,8.22380256652832
0db,sigmoid,0.0001,500,20,9.862005233764648
0db,sigmoid,0.0001,1000,-20,0.3261793553829193
0db,sigmoid,0.0001,1000,-15,0.7596632242202759
0db,sigmoid,0.0001,1000,-10,1.4682432413101196
0db,sigmoid,0.0001,1000,-5,2.4455742835998535
0db,sigmoid,0.0001,1000,0,3.6697640419006348
0db,sigmoid,0.0001,1000,5,5.088764667510986
0db,sigmoid,0.0001,1000,10,6.631410121917725
0db,sigmoid,0.0001,1000,15,8.239723205566406
0db,sigmoid,0.0001,1000,20,9.878860473632812
0db,sigmoid,1e-05,100,-20,0.16070231795310974
0db,sigmoid,1e-05,100,-15,0.4173550307750702
0db,sigmoid,1e-05,100,-10,0.9177515506744385
0db,sigmoid,1e-05,100,-5,1.7052502632141113
0db,sigmoid,1e-05,100,0,2.7708210945129395
0db,sigmoid,1e-05,100,5,4.0719499588012695
0db,sigmoid,1e-05,100,10,5.542308807373047
0db,sigmoid,1e-05,100,15,7.114541053771973
0db,sigmoid,1e-05,100,20,8.738958358764648
0db,sigmoid,1e-05,500,-20,0.2592720687389374
0db,sigmoid,1e-05,500,-15,0.6289328932762146
0db,sigmoid,1e-05,500,-10,1.2737081050872803
0db,sigmoid,1e-05,500,-5,2.20599102973938
